id;char;reading;translation;jlpt_level
3510;実例;じつれい;example, instance;2
3511;失恋;しつれん;broken heart, unrequited love;2
3512;指定;してい;designation, specification, assignment;2
3513;私鉄;してつ;private railway;2
3514;縛る;しばる;to tie, to bind;2
3515;地盤;じばん;(the) ground;2
3516;しびれる;しびれる;to become numb;2
3517;紙幣;しへい;paper money, notes, bills;2
3518;しぼむ;しぼむ;to wither, to shrivel;2
3519;絞る;しぼる;to press, to wring, to squeeze;2
3520;縞;しま;stripe;2
3521;～おしまい (おわり);～おしまい (おわり);end up ~;2
3522;しみじみ;しみじみ;keenly, deeply, heartily;2
3523;氏名;しめい;full name;2
3524;締切;しめきり;deadline;2
3525;締め切る;しめきる;to close, cancel;2
3526;しめた (かん);しめた (かん);I've got it, all right, fine;2
3527;地面;じめん;ground, earth's surface;2
3528;～車;～しゃ;~ car;2
3529;～者;～しゃ;person;2
3530;～社;～しゃ;counter for company;2
3531;ジャーナリスト;ジャーナリスト;journalist;2
3532;社会科学;しゃかいかがく;social science;2
3533;しゃがむ;しゃがむ;to squat;2
3534;蛇口;じゃぐち;faucet, tap;2
3535;弱点;じゃくてん;weak point, weakness;2
3536;車庫;しゃこ;garage, car shed;2
3537;車掌;しゃしょう;(train) conductor;2
3538;写生;しゃせい;sketching, drawing from nature;2
3539;社説;しゃせつ;editorial;2
3540;しゃっくり;しゃっくり;hiccough, hiccup;2
3541;シャッター;シャッター;shutter;2
3542;しゃぶる;しゃぶる;to suck, to chew;2
3543;車輪;しゃりん;(car) wheel;2
3544;洒落;しゃれ;joke, pun, witticism;2
3545;じゃんけん;じゃんけん;rock-scissors-paper game;2
3546;～手;～しゅ;~ player, person who does ~;2
3547;～酒;～しゅ;kind of alcohol;2
3548;～集;～しゅう;collection of ~;2
3549;重～;じゅう～;heavy ~;2
3550;集会;しゅうかい;meeting, assembly;2
3551;集金;しゅうきん;money collection;2
3552;集合;しゅうごう;gathering, assembly;2
3553;習字;しゅうじ;penmanship;2
3554;修繕;しゅうぜん;repair, mending;2
3555;じゅうたん (カーペット);じゅうたん (カーペット);carpet;2
3556;終点;しゅうてん;terminus, last stop (e.g train);2
3557;重点;じゅうてん;important point, lay stress on, emphasis;2
3558;リズム;リズム;rhythm;2
3559;リットル;リットル;liter;2
3560;リボン;リボン;ribbon;2
3561;略す;りゃくす;to abbreviate;2
3562;～流;～りゅう;fashion, manner, way;2
3563;流域;りゅういき;(river) basin;2
3564;両～;りょう～;both ~;2
3565;～料;～りょう;fare, charge;2
3566;～領;～りょう;territory;2
3567;両側;りょうがわ;both sides;2
3568;漁師;りょうし;fisherman;2
3569;領事;りょうじ;consul;2
3570;領収;りょうしゅう;receipt, voucher;2
3571;～力;～りょく;power of ~;2
3572;臨時;りんじ;temporary, special, extraordinary;2
3573;留守番;るすばん;care-taking, caretaker, house-watching;2
3574;零点;れいてん;zero, no marks;2
3575;冷凍;れいとう;freezing, cold storage, refrigeration;2
3576;レインコート;レインコート;raincoat;2
3577;レクリェーション;レクリェーション;recreation;2
3578;レジャー;レジャー;leisure;2
3579;列島;れっとう;chain of islands;2
3580;リポート;リポート;report, paper;2
3581;煉瓦;れんが;brick;2
3582;連合;れんごう;union, alliance;2
3583;レンズ;レンズ;lens;2
3584;ろうそく;ろうそく;candle;2
3585;ローマ字;ローマじ;romanization, Roman letters (alphabet);2
3586;録音;ろくおん;(audio) recording;2
3587;ロッカー;ロッカー;locker;2
3588;ロビー;ロビー;lobby;2
3589;～論;～ろん;theory;2
3590;論ずる;ろんずる;to argue, to discuss;2
3591;和～;わ～;Japanese style;2
3592;～羽;～わ;"counter for rabbits; birds";2
3593;和英;わえい;Japanese-English;2
3594;我～;わが～;our ~;2
3595;若々しい;わかわかしい;youthful, young;2
3596;詫びる;わびる;to apologize;2
3597;和服;わふく;Japanese clothes;2
3598;割合に;わりあいに;relatively, comparatively;2
3599;割算;わりざん;division (math);2
3600;割と;わりと;relatively, comparatively;2
3601;割引;わりびき;discount;2
3602;ワンピース;ワンピース;one-piece dress;2
3603;"アイデア; アイディア";"アイデア; アイディア";idea;2
3604;あいまい;あいまい;vague, ambiguous;2
3605;扇ぐ;あおぐ;to fan, to flap;2
3606;青白い;あおじろい;pale;2
3607;呆れる;あきれる;to be shocked, to be appalled;2
3608;アクセント;アクセント;accent;2
3609;あくび;あくび;yawn;2
3610;飽くまで;あくまで;to the end, to the last, stubbornly;2
3611;明くる～;あくる～;next, following;2
3612;明け方;あけがた;dawn;2
3613;憧れる;あこがれる;to long for, to yearn after;2
3614;朝寝坊;あさねぼう;oversleeping, late riser;2
3615;足跡;あしあと;footprint;2
3616;足元;あしもと;at one's feet;2
3617;味わう;あじわう;to taste, to savor;2
3618;あちらこちら;あちらこちら;here and there;2
3619;厚かましい;あつかましい;impudent, shameless,;2
3620;圧縮;あっしゅく;compression, condensation, pressure;2
3621;宛名;あてな;address, direction;2
3622;当てはまる;あてはまる;to be applicable, to come under (a category);2
3623;当てはめる;あてはめる;to apply, to adapt;2
3624;暴れる;あばれる;to act violently, to rage;2
3625;あぶる;あぶる;to scorch, to roast;2
3626;あふれる;あふれる;to flood, to overflow;2
3627;雨戸;あまど;sliding storm door;2
3628;甘やかす;あまやかす;to pamper, to spoil;2
3629;余る;あまる;to be left over, to be in excess;2
3630;編み物;あみもの;knitting;2
3631;編む;あむ;to knit;2
3632;危うい;あやうい;dangerous, critical;2
3633;怪しい;あやしい;suspicious, dubious, doubtful;2
3634;荒い;あらい;rough, rude, wild;2
3635;粗い;あらい;coarse, rough;2
3636;粗筋;あらすじ;outline, synopsis;2
3637;改めて;あらためて;another time, again;2
3638;改める;あらためる;to change, to reform, to revise;2
3639;有難い;ありがたい;grateful, thankful, appreciated;2
3640;あれこれ;あれこれ;one thing or another, this and that;2
3641;荒れる;あれる;to be stormy, to be rough, to be ruined;2
3642;慌ただしい;あわただしい;busy, hurried;2
3643;安易;あんい;easy-going;2
3644;アンテナ;アンテナ;antenna;2
3645;～位;～い;~th place;2
3646;言い出す;いいだす;to start talking, to suggest;2
3647;言い付ける;いいつける;to tell, to order;2
3648;意義;いぎ;meaning, significance;2
3649;生き生き;いきいき;vividly, lively;2
3650;いきなり;いきなり;all of a sudden;2
3651;幾～;いく～;several ~;2
3652;育児;いくじ;childcare, nursing;2
3653;幾分;いくぶん;somewhat;2
3654;生け花;いけばな;flower arrangement;2
3655;以後;いご;"after this; from now on; hereafter";2
3656;以降;いこう;on and after, hereafter;2
3657;イコール;イコール;equal;2
3658;勇ましい;いさましい;brave, valiant;2
3659;衣食住;いしょくじゅう;food, clothing and shelter;2
3660;～いち (にほんいち);～いち (にほんいち);No. 1 ~ (in);2
3661;いちいち;いちいち;one by one, separately;2
3662;一応;いちおう;tentatively, for the time being;2
3663;一段と;いちだんと;by far, greater;2
3664;一流;いちりゅう;first class, leading;2
3665;一昨日;いっさくじつ;day before yesterday;2
3666;一昨年;いっさくねん;year before last;2
3667;一斉;いっせい;simultaneous, all at once;2
3668;一旦;いったん;once, for a moment;2
3669;一定;いってい;fixed, settled, regular;2
3670;行っていらっしゃい;いっていらっしゃい;have a nice day, see you;2
3671;行ってらっしゃい;いってらっしゃい;have a nice day, see you;2
3672;いってまいります;いってまいります;(Lit.) I'll go and come back, 'I'm going, see you later';2
3673;いってきます;いってきます;(Lit.) I'll go and come back, 'I'm going, see you later';2
3674;移転;いてん;moving, transfer;2
3675;井戸;いど;water well;2
3676;緯度;いど;latitude (navigation);2
3677;威張る;いばる;to be proud, to swagger;2
3678;嫌がる;いやがる;reluctant, to dislike;2
3679;いよいよ;いよいよ;more and more, increasingly, at last;2
3680;煎る;いる;to roast;2
3681;炒る;いる;to parch, to roast;2
3682;入れ物;いれもの;container, case;2
3683;インキ;インキ;ink;2
3684;引力;いんりょく;gravity;2
3685;ウーマン;ウーマン;woman;2
3686;ウール;ウール;wool;2
3687;ウエートレス;ウエートレス;waitress;2
3688;植木;うえき;garden shrubs, trees, potted plant;2
3689;飢える;うえる;to starve;2
3690;浮ぶ;うかぶ;to float, to rise to surface, to come to mind;2
3691;浮かべる;うかべる;"to float; to express";2
3692;浮く;うく;to float;2
3693;承る;うけたまわる;(humble) to hear, to be told, to know;2
3694;受取;うけとり;receipt;2
3695;受け持つ;うけもつ;to take (be in) charge of;2
3696;薄暗い;うすぐらい;dim, gloomy;2
3697;薄める;うすめる;to dilute, to water down;2
3698;打合せ;うちあわせ;business meeting, previous arrangement;2
3699;打ち消す;うちけす;to deny, to negate;2
3700;うどん;うどん;udon noodles (Japanese traditional noodles);2
3701;うなずく;うなずく;to nod;2
3702;敬う;うやまう;to show respect, to honor;2
3703;裏返す;うらがえす;to turn inside out, to turn (something) over;2
3704;裏口;うらぐち;backdoor, rear entrance;2
3705;占う;うらなう;to predict, to divine;2
3706;恨み;うらみ;resentment;2
3707;恨む;うらむ;to curse, to feel bitter;2
3708;羨む;うらやむ;to envy;2
3709;売上;うりあげ;amount sold, proceeds;2
3710;売り切れ;うりきれ;sold-out;2
3711;売り切れる;うりきれる;to be sold out;2
3712;売行き;うれゆき;sales;2
3713;うろうろ;うろうろ;loitering, aimless wandering;2
3714;上～;うわ～;upper ~;2
3715;運河;うんが;canal, waterway;2
3716;うんと;うんと;a great deal, very much;2
3717;英文;えいぶん;sentence in English;2
3718;英和;えいわ;English-Japanese (e.g., dictionary);2
3719;ええと;ええと;let me see, well, er...;2
3720;液体;えきたい;liquid, fluid;2
3721;エチケット;エチケット;etiquette;2
3722;絵の具;えのぐ;colors, paints;2
3723;エプロン;エプロン;apron;2
3724;偉い;えらい;great, celebrated, remarkable,;2
3725;～園;～えん;~ garden (especially man made);2
3726;宴会;えんかい;party, banquet;2
3727;園芸;えんげい;horticulture, gardening;2
3728;演劇;えんげき;play (theatrical);2
3729;円周;えんしゅう;circumference;2
3730;遠足;えんそく;trip, hike, picnic;2
3731;延長;えんちょう;extension, prolongation;2
3732;煙突;えんとつ;chimney;2
3733;御～;おん～;honorific ~;2
3734;追いかける;おいかける;to chase or run after someone;2
3735;追い越す;おいこす;to pass (e.g., car), to outdistance, to outstrip;2
3736;オイル;オイル;oil;2
3737;王女;おうじょ;princess;2
3738;応ずる;おうずる;to respond, to comply with;2
3739;応接;おうせつ;reception;2
3740;応対;おうたい;receiving, dealing with;2
3741;往復;おうふく;(col) round trip, coming and going, return ticket;2
3742;欧米;おうべい;Europe and America, the West;2
3743;応用;おうよう;application, put to practical use;2
3744;電波;でんぱ;electro-magnetic wave;2
3745;テンポ;テンポ;tempo;2
3746;電流;でんりゅう;electric current;2
3747;電力;でんりょく;electric power;2
3748;問い合わせ;といあわせ;inquiry;2
3749;～頭;～とう;counter for animals;2
3750;～等;～とう;level, place;2
3751;～島;～とう;kind of islands;2
3752;銅;どう;copper;2
3753;同～;どう～;same ~;2
3754;～道;～どう;kind of path, road;2
3755;どういたしまして (かん);どういたしまして (かん);you are welcome, don't mention it;2
3756;統一;とういつ;unity, consolidation, uniformity;2
3757;同格;どうかく;the same rank, equality, apposition;2
3758;峠;とうげ;ridge, (mountain) pass, difficult part;2
3759;統計;とうけい;scattering, a scatter, dispersion;2
3760;動作;どうさ;action, movements, motions;2
3761;東西;とうざい;East and West, whole country;2
3762;当日;とうじつ;appointed day, very day;2
3763;投書;とうしょ;letter to the editor, letter from a reader, contribution;2
3764;登場;とうじょう;entry (on stage);2
3765;どうせ;どうせ;anyhow, in any case, at any rate;2
3766;灯台;とうだい;lighthouse;2
3767;盗難;とうなん;theft, robbery;2
3768;当番;とうばん;being on duty;2
3769;等分;とうぶん;division into equal parts;2
3770;透明;とうめい;transparency, cleanness;2
3771;灯油;とうゆ;lamp oil, kerosene;2
3772;童話;どうわ;fairy tale;2
3773;～通り;～とおり;"in accordance with ~; following ~; ~ street, ~ avenue";2
3774;通り掛かる;とおりかかる;to happen to pass by;2
3775;溶かす;とかす;to melt, to dissolve;2
3776;尖る;とがる;to taper to a point, to become sharp;2
3777;どきどき;どきどき;throb, beat (fast);2
3778;特殊;とくしゅ;special, unique;2
3779;特色;とくしょく;characteristic, feature;2
3780;特定;とくてい;specific, special, particular;2
3781;特売;とくばい;special sale;2
3782;溶け込む;とけこむ;"to melt into; to become a part of";2
3783;退ける;どける;to dislodge, to put something out of the way;2
3784;床の間;とこのま;alcove;2
3785;～ところ;～ところ;about to do ~;2
3786;所々;ところどころ;here and there, some parts (of something);2
3787;都心;としん;heart (of city);2
3788;戸棚;とだな;cupboard, cabinet;2
3789;とっくに;とっくに;long ago, already, a long time ago;2
3790;どっと;どっと;suddenly;2
3791;整う;ととのう;to be prepared, to be in order, to be arranged;2
3792;留まる;とどまる;"to be fixed; to abide, to stay (in the one place)";2
3793;怒鳴る;どなる;to shout, to yell;2
3794;殿;どの;Mister (mostly in addressing someone on an envelope);2
3795;飛び込む;とびこむ;to jump in, to leap in, to plunge into;2
3796;留まる;とまる;"to be fixed; to abide, to stay (in the one place)";2
3797;ともかく;ともかく;anyhow, at any rate, anyway;2
3798;捕える;とらえる;to seize, to capture, to arrest;2
3799;取り入れる;とりいれる;to harvest, to take in, to adopt;2
3800;取り消す;とりけす;to cancel;2
3801;取り出す;とりだす;to take out, to pick out;2
3802;採る;とる;"to adopt (measure, proposal); to pick (fruit)";2
3803;捕る;とる;to take, to catch (fish);2
3804;丼;どんぶり;porcelain bowl, bowl of rice with food on top;2
3805;～内;～ない;inside ~;2
3806;内科;ないか;internist clinic, internal medicine;2
3807;内線;ないせん;phone extension;2
3808;ナイロン;ナイロン;nylon;2
3809;長～;なが～;long ~;2
3810;仲直り;なかなおり;reconciliation, make peace with;2
3811;長引く;ながびく;to be prolonged, to drag on;2
3812;中指;なかゆび;middle finger;2
3813;仲良し;なかよし;intimate friend, bosom buddy;2
3814;慰める;なぐさめる;to comfort, to console;2
3815;為す;なす;to accomplish, to do;2
3816;謎謎;なぞなぞ;riddle;2
3817;傾らか;なだらか;gradual, gentle;2
3818;懐かしい;なつかしい;dear, desired, missed;2
3819;撫でる;なでる;to brush gently, to stroke;2
3820;斜め;ななめ;diagonal, oblique;2
3821;なにしろ;なにしろ;at any rate, in any case;2
3822;何々;なになに;such and such, What?;2
3823;何分;なにぶん;by all means, please;2
3824;生意気;なまいき;impertinent, impudent;2
3825;並木;なみき;roadside tree, row of trees;2
3826;倣う;ならう;to imitate, to follow, to emulate;2
3827;南極;なんきょく;south pole, Antarctic;2
3828;なんとなく;なんとなく;somehow or other, for some reason or another;2
3829;なんとも;なんとも;nothing (with neg. verb), quite, not a bit;2
3830;ナンバー;ナンバー;number;2
3831;南米;なんべい;South America;2
3832;南北;なんぼく;south and north;2
3833;匂う;におう;to be fragrant, to smell;2
3834;逃がす;にがす;to let loose, to set free, to let escape;2
3835;憎い;にくい;hateful, abominable, detestable;2
3836;～難い;～がたい;hard (difficult) to do ~;1
3837;憎む;にくむ;to hate, to detest;2
3838;憎らしい;にくらしい;odious, hateful;2
3839;にこにこ;にこにこ;smile sweetly, smiley;2
3840;濁る;にごる;to become muddy, to get cloudy;2
3841;虹;にじ;rainbow;2
3842;日時;にちじ;date and time;2
3843;日用品;にちようひん;daily necessities;2
3844;日課;にっか;daily work, daily routine;2
3845;日程;にってい;schedule;2
3846;鈍い;にぶい;dull (e.g., a knife), thickheaded, slow (opposite of fast), stupid;2
3847;入社;にゅうしゃ;entry to a company;2
3848;女房;にょうぼう;wife;2
3849;睨む;にらむ;"to glare at, to stare; to keep an eye on";2
3850;俄;にわか;sudden, abrupt, unexpected;2
3851;縫う;ぬう;to sew;2
3852;ねじ;ねじ;(a) screw;2
3853;捩る;ねじる;to twist;2
3854;ネックレス;ネックレス;necklace;2
3855;熱する;ねっする;to heat;2
3856;寝間着;ねまき;sleep-wear, pajamas;2
3857;寝巻;ねまき;sleep-wear, pajamas;2
3858;狙い;ねらい;aim;2
3859;狙う;ねらう;to aim at;2
3860;～年生;～ねんせい;counter for school year;2
3861;年度;ねんど;year, fiscal year;2
3862;農産物;のうさんぶつ;agricultural produce;2
3863;農村;のうそん;agricultural community;2
3864;濃度;のうど;concentration, density;2
3865;農薬;のうやく;agricultural chemicals;2
3866;能率;のうりつ;efficiency;2
3867;のこぎり;のこぎり;saw;2
3868;残らず;のこらず;completely, without exception;2
3869;上り;のぼり;up-train (going to Tokyo), ascent;2
3870;糊;のり;glue, paste, starch;2
3871;乗換;のりかえ;a transfer (e.g., trains, buses);2
3872;乗り越し;のりこし;riding past (one's station);2
3873;鈍い;のろい;dull (e.g., a knife), slow (opposite of fast), stupid;2
3874;のろのろ;のろのろ;slowly, sluggishly;2
3875;呑気;のんき;carefree, optimistic, careless;2
3876;はい (かん);はい (かん);yes;2
3877;灰色;はいいろ;grey, ashen;2
3878;俳句;はいく;haiku poetry;2
3879;売店;ばいてん;shop, stand;2
3880;バイバイ;バイバイ;bye bye;2
3881;売買;ばいばい;trade, buying and selling;2
3882;這う;はう;to creep, to crawl;2
3883;剥す;はがす;to tear off, to peel off, to rip off;2
3884;ばからしい;ばからしい;absurd;2
3885;秤;はかり;scales, weighing machine;2
3886;吐き気;はきけ;nausea, sickness in the stomach;2
3887;はきはき;はきはき;clearly;2
3888;～泊;～はく;counter for staying (e.g., 2 nights);2
3889;歯車;はぐるま;gear, cog-wheel;2
3890;バケツ;バケツ;bucket, pail;2
3891;挟まる;はさまる;to get between, to be caught in;2
3892;挟む;はさむ;"to pinch; to hold between; to insert";2
3893;梯子;はしご;ladder, stairs;2
3894;始めに;はじめに;to begin with, first of all;2
3895;初めに;はじめに;to begin with, first of all;2
3896;はじめまして;はじめまして;How do you do, I am glad to meet you;2
3897;斜;はす;diagonal;2
3898;パターン;パターン;pattern;2
3899;肌着;はだぎ;underwear;2
3900;果して;はたして;as was expected, really;2
3901;鉢;はち;a bowl, a pot;2
3902;～発;～はつ;counter for bullets;2
3903;×;ばつ;cross;2
3904;発揮;はっき;exhibition, demonstration, display;2
3905;バック;バック;back;2
3906;発想;はっそう;"idea; way of thinking (same as 考え方 (かんがえかた))";2
3907;発電;はつでん;generation (e.g., power);2
3908;発売;はつばい;sale;2
3909;話合い;はなしあい;discussion, talk;2
3910;話し掛ける;はなしかける;to accost a person, to talk (to someone);2
3911;話中;はなしちゅう;while talking, the line is busy;2
3912;甚だしい;はなはだしい;extreme, excessive, terrible;2
3913;花火;はなび;fireworks;2
3914;花嫁;はなよめ;bride;2
3915;ばね;ばね;spring (e.g., coil, leaf);2
3916;跳ねる;はねる;to jump, to leap;2
3917;破片;はへん;fragment, broken piece;2
3918;歯磨き;はみがき;toothbrushing, toothpaste;2
3919;はめる;はめる;(col) to get in, to insert, to put on;2
3920;早口;はやくち;fast-talking;2
3921;払い込む;はらいこむ;to deposit, to pay in;2
3922;払い戻す;はらいもどす;to repay, to pay back;2
3923;針金;はりがね;wire;2
3924;張り切る;はりきる;to be in high spirits, to be full of vigor;2
3925;反～;はん～;anti ~, counter ~;2
3926;反映;はんえい;reflection, influence;2
3927;半径;はんけい;radius;2
3928;判子;はんこ;seal (used for signature);2
3929;万歳;ばんざい;banzai, Long live ~!;2
3930;判事;はんじ;judge, justice;2
3931;番地;ばんち;house number, address;2
3932;パンツ;パンツ;underpants;2
3933;バンド;バンド;band;2
3934;半島;はんとう;peninsula;2
3935;ハンドル;ハンドル;handle, steering wheel;2
3936;～番目;～ばんめ;~th;2
3937;非～;ひ～;anti~, counter~, an~, non~;1
3938;～費;～ひ;cost of ~;2
3939;日当たり;ひあたり;exposure to the sun, sunny place;2
3940;日帰り;ひがえり;day trip;2
3941;比較的;ひかくてき;"comparatively; relatively";2
3942;日陰;ひかげ;shadow;2
3943;ぴかぴか;ぴかぴか;glitter, sparkle;2
3944;引受る;ひきうける;to undertake, to take up, to take over;2
3945;引き返す;ひきかえす;to turn back, to go back, reverse;2
3946;引算;ひきざん;subtraction;2
3947;引き出す;ひきだす;to pull out, to take out, to withdraw;2
3948;引き止める;ひきとめる;to keep back, to prevent, to hold back;2
3949;卑怯;ひきょう;cowardice, meanness, unfairness;2
3950;引分け;ひきわけ;a draw (in competition), tie game;2
3951;陽射;ひざし;sunlight, rays of the sun;2
3952;肘;ひじ;elbow;2
3953;ピストル;ピストル;pistol;2
3954;ビタミン;ビタミン;vitamin;2
3955;ぴたり;ぴたり;"exactly; close-fitting";2
3956;引っ掛かる;ひっかかる;to be caught in, to be stuck in;2
3957;筆記;ひっき;note taking, writing;2
3958;引っ繰り返す;ひっくりかえす;to turn over, to overturn, to knock over;2
3959;引っ繰り返る;ひっくりかえる;to be overturned, to be upset, to topple over, to be reversed;2
3960;引っ込む;ひっこむ;to draw back, to sink, to cave in;2
3961;筆者;ひっしゃ;writer, author;2
3962;必需品;ひつじゅひん;necessities, essential;2
3963;一～;ひと～;one ~;2
3964;人差指;ひとさしゆび;index finger;2
3965;一通り;ひととおり;general, briefly;2
3966;人通り;ひとどおり;pedestrian traffic;2
3967;ひとまず;ひとまず;for the present, once, for the time being;2
3968;瞳;ひとみ;pupil (of eye);2
3969;一休み;ひとやすみ;a rest;2
3970;独り言;ひとりごと;a soliloquy, a monologue, speaking to oneself;2
3971;ひとりでに;ひとりでに;by itself, automatically, naturally;2
3972;ビニール;ビニール;vinyl;2
3973;皮肉;ひにく;cynicism, sarcasm;2
3974;日日;ひにち;date;2
3975;捻る;ひねる;to twist, to turn;2
3976;日の入り;ひのいり;sunset;2
3977;日の出;ひので;sunrise;2
3978;響き;ひびき;echo, sound;2
3979;響く;ひびく;"to resound; to affect";2
3980;皮膚;ひふ;skin;2
3981;ひゃっかじてん;ひゃっかじてん;encyclopedia;2
3982;美容;びよう;beauty of figure or form;2
3983;～病;～びょう;kind of disease;2
3984;表紙;ひょうし;front cover, binding;2
3985;標識;ひょうしき;sign, mark;2
3986;標準;ひょうじゅん;standard, level;2
3987;標本;ひょうほん;example, specimen;2
3988;評論;ひょうろん;criticism, critique;2
3989;ビルディング;ビルディング;building;2
3990;昼寝;ひるね;nap (at home), siesta;2
3991;広さ;ひろさ;extent;2
3992;広場;ひろば;plaza;2
3993;広々;ひろびろ;extensive, spacious;2
3994;ピンク;ピンク;pink;2
3995;便箋;びんせん;writing paper, stationery;2
3996;瓶詰;びんづめ;bottling, bottled;2
3997;～部;～ぶ;~ part;2
3998;ファスナー;ファスナー;fastener, zipper;2
3999;～風;～ふう;~ style;2
4000;風船;ふうせん;balloon;2
4001;不運;ふうん;unlucky, misfortune, bad luck;2
4002;不規則;ふきそく;irregularity, unsteadiness;2
4003;普及;ふきゅう;diffusion, spread;2
4004;付近;ふきん;neighborhood, vicinity;2
4005;副～;ふく～;vice ~;2
4006;副詞;ふくし;adverb;2
4007;複写;ふくしゃ;copy, duplicate;2
4008;複数;ふくすう;plural, multiple;2
4009;膨らます;ふくらます;to swell, to expand, to inflate;2
4010;膨らむ;ふくらむ;to expand, to swell (out), to become inflated;2
4011;不潔;ふけつ;unclean, dirty;2
4012;更ける;ふける;to get late, to wear on;2
4013;符号;ふごう;sign, mark, symbol;2
4014;夫妻;ふさい;man and wife, married couple;2
4015;塞がる;ふさがる;to be plugged up, to be shut up;2
4016;塞ぐ;ふさぐ;to stuff, to close up, to block (up);2
4017;ふざける;ふざける;to romp, to gambol, to frolic;2
4018;無沙汰;ぶさた;neglecting to stay in contact;2
4019;武士;ぶし;warrior, samurai;2
4020;部首;ぶしゅ;radical (of a kanji character);2
4021;襖;ふすま;sliding screen;2
4022;附属;ふぞく;attached, belonging, affiliated;2
4023;蓋;ふた;cover, lid, cap;2
4024;物騒;ぶっそう;dangerous, disturbed, insecure;2
4025;ぶつぶつ;ぶつぶつ;grumbling, complaining in a small voice;2
4026;船便;ふなびん;surface mail (ship);2
4027;部品;ぶひん;parts, accessories;2
4028;吹雪;ふぶき;snow storm;2
4029;父母;ふぼ;father and mother, parents;2
4030;踏切;ふみきり;railway crossing, level crossing, starting line, scratch, crossover;2
4031;麓;ふもと;the foot, the bottom, the base (of a mountain);2
4032;フライパン;フライパン;fry pan, frying pan;2
4033;ブラウス;ブラウス;blouse;2
4034;ぶらさげる;ぶらさげる;to hang, to suspend, to swing;2
4035;ブラシ;ブラシ;brush;2
4036;プラットホーム;プラットホーム;platform;2
4037;～振り;～ぶり;after an interval of ~;2
4038;フリー;フリー;free;2
4039;振り仮名;ふりがな;pronunciation key;2
4040;振り向く;ふりむく;to turn one's face, to turn around;2
4041;プリント;プリント;print, handout;2
4042;古～;ふる～;old ~;2
4043;故郷;ふるさと;home town, birthplace;2
4044;古里;ふるさと;home town, birthplace;2
4045;振舞う;ふるまう;to behave, to conduct;2
4046;ブローチ;ブローチ;brooch;2
4047;プログラム;プログラム;program;2
4048;風呂敷;ふろしき;wrapping cloth, cloth wrapper;2
4049;ふわふわ;ふわふわ;light, soft;2
4050;噴火;ふんか;eruption;2
4051;分解;ぶんかい;analysis, disassembly;2
4052;文芸;ぶんげい;literature, art and literature;2
4053;文献;ぶんけん;literature, books (reference);2
4054;噴水;ふんすい;water fountain;2
4055;分数;ぶんすう;fraction (in math);2
4056;文体;ぶんたい;literary style;2
4057;分布;ぶんぷ;distribution;2
4058;文房具;ぶんぼうぐ;stationery;2
4059;文脈;ぶんみゃく;context;2
4060;分量;ぶんりょう;amount, quantity;2
4061;分類;ぶんるい;classification;2
4062;閉会;へいかい;closure;2
4063;平気;へいき;coolness, calmness, unconcern;2
4064;並行;へいこう;(going) side by side, concurrent, at the same time;1
4065;平日;へいじつ;weekday;2
4066;兵隊;へいたい;soldier;2
4067;平凡;へいぼん;common, ordinary;2
4068;平野;へいや;plain, open field;2
4069;凹む;へこむ;to be dented, to be indented;2
4070;へそ;へそ;navel, belly-button;2
4071;隔てる;へだてる;to be shut out;2
4072;別荘;べっそう;"villa; vacation home; summer cottage";2
4073;別々;べつべつ;separately, individually;2
4074;ベテラン;ベテラン;veteran;2
4075;ヘリコプター;ヘリコプター;helicopter;2
4076;～遍;～へん;time;2
4077;～弁;～べん;speech, dialect;2
4078;編集;へんしゅう;editing, compilation, editorial (e.g., committee);2
4079;便所;べんじょ;toilet, lavatory;2
4080;ペンチ;ペンチ;pliers (lit: pinchers);2
4081;～歩;～ほ;step, pace;2
4082;～ぽい;～ぽい;~ish;2
4083;～ほう (ひかく);～ほう (ひかく);(in comparison);2
4084;防～;ぼう～;~ prevention;2
4085;望遠鏡;ぼうえんきょう;telescope;2
4086;方角;ほうがく;direction, way;2
4087;箒;ほうき;broom;2
4088;方言;ほうげん;dialect;2
4089;坊さん;ぼうさん;Buddhist priest, monk;2
4090;防止;ぼうし;prevention, check;2
4091;方針;ほうしん;objective, plan, policy;2
4092;法則;ほうそく;law, rule;2
4093;包帯;ほうたい;bandage;2
4094;膨大;ぼうだい;enormous, extensive;2
4095;包丁;ほうちょう;kitchen knife, carving knife;2
4096;方程式;ほうていしき;equation;2
4097;防犯;ぼうはん;prevention of crime;2
4098;方面;ほうめん;"direction; area";2
4099;坊や;ぼうや;boy;2
4100;放る;ほうる;to let go;2
4101;ボーナス;ボーナス;bonus;2
4102;朗らか;ほがらか;bright, cheerful, melodious;2
4103;牧場;ぼくじょう;"farm (livestock); pasture land";2
4104;牧畜;ぼくちく;stock-farming;2
4105;保健;ほけん;health preservation, hygiene, sanitation;2
4106;募集;ぼしゅう;recruitment;2
4107;干す;ほす;to air, to dry, to drink up;2
4108;ポスター;ポスター;poster;2
4109;北極;ほっきょく;North Pole;2
4110;坊っちゃん;ぼっちゃん;son (of others);2
4111;解く;ほどく;to unfasten;2
4112;掘る;ほる;to dig, to excavate;2
4113;彫る;ほる;to carve, to chisel;2
4114;ぼろ;ぼろ;rag, tattered clothes;2
4115;盆;ぼん;"Festival of the Dead; tray";2
4116;盆地;ぼんち;basin (e.g., between mountains);2
